



PKey	OrderDate	Customer Key	Sales Territory Region	Sales Order Number	Sales Order Line Number	Order Quantity	Unit Price	Freight
346	2019-06-29	25863	Northwest	SO43699	1	1	3399.99	84.9998
336	2019-06-29	14501	Southwest	SO43700	1	1	699.0982	17.4775
311	2019-06-30	27645	Southwest	SO43702	1	1	3578.27	89.4568
312	2019-06-30	27621	Southwest	SO43706	1	1	3578.27	89.4568
312	2019-06-30	27616	Southwest	SO43707	1	1	3578.27	89.4568
314	2019-07-01	27606	Northwest	SO43711	1	1	3578.27	89.4568
310	2019-07-02	27601	Southwest	SO43713	1	1	3578.27	89.4568
311	2019-07-03	27668	Northwest	SO43718	1	1	3578.27	89.4568
312	2019-07-03	27612	Southwest	SO43719	1	1	3578.27	89.4568
332	2019-07-04	14520	Northwest	SO43723	1	1	699.0982	17.4775
332	2019-07-05	14560	Southwest	SO43726	1	1	699.0982	17.4775
313	2019-07-06	27666	Southwest	SO43728	1	1	3578.27	89.4568
346	2019-07-06	25861	Southwest	SO43730	1	1	3399.99	84.9998
312	2019-07-06	27577	Northwest	SO43733	1	1	3578.27	89.4568
312	2019-07-07	27604	Northwest	SO43734	1	1	3578.27	89.4568
310	2019-07-09	27671	Northwest	SO43741	1	1	3578.27	89.4568
314	2019-07-11	27623	Southwest	SO43747	1	1	3578.27	89.4568
313	2019-07-11	27625	Northwest	SO43748	1	1	3578.27	89.4568
314	2019-07-11	27636	Northwest	SO43749	1	1	3578.27	89.4568
312	2019-07-12	27617	Northwest	SO43754	1	1	3578.27	89.4568
311	2019-07-12	27670	Southwest	SO43755	1	1	3578.27	89.4568
310	2019-07-13	27646	Southwest	SO43758	1	1	3578.27	89.4568
314	2019-07-14	27578	Southwest	SO43762	1	1	3578.27	89.4568
312	2019-07-16	27649	Northwest	SO43768	1	1	3578.27	89.4568
312	2019-07-16	27614	Northwest	SO43770	1	1	3578.27	89.4568
330	2019-07-16	14559	Southwest	SO43771	1	1	699.0982	17.4775
310	2019-07-19	27667	Southwest	SO43784	1	1	3578.27	89.4568
351	2019-07-19	25865	Northwest	SO43789	1	1	3374.99	84.3748
344	2019-07-19	25857	Northwest	SO43790	1	1	3399.99	84.9998
312	2019-07-20	27615	Southwest	SO43795	1	1	3578.27	89.4568
328	2019-07-22	14510	Northwest	SO43805	1	1	699.0982	17.4775
312	2019-07-24	27662	Southwest	SO43812	1	1	3578.27	89.4568
350	2019-07-24	25866	Northwest	SO43814	1	1	3374.99	84.3748
312	2019-07-25	27651	Southwest	SO43820	1	1	3578.27	89.4568
310	2019-07-25	27663	Southwest	SO43821	1	1	3578.27	89.4568
313	2019-07-25	27669	Southwest	SO43822	1	1	3578.27	89.4568
338	2019-07-25	14558	Northwest	SO43824	1	1	699.0982	17.4775
310	2019-07-26	27605	Northwest	SO43828	1	1	3578.27	89.4568
310	2019-07-26	27611	Southwest	SO43829	1	1	3578.27	89.4568
313	2019-07-28	27641	Southwest	SO43838	1	1	3578.27	89.4568
311	2019-07-28	27673	Northwest	SO43839	1	1	3578.27	89.4568
313	2019-07-29	28066	Southwest	SO43920	1	1	3578.27	89.4568
312	2019-07-30	28018	Southwest	SO43923	1	1	3578.27	89.4568
312	2019-08-01	28038	Southwest	SO43930	1	1	3578.27	89.4568
311	2019-08-02	28065	Southwest	SO43936	1	1	3578.27	89.4568
338	2019-08-03	14565	Southwest	SO43943	1	1	699.0982	17.4775
310	2019-08-04	27726	Southwest	SO43949	1	1	3578.27	89.4568
311	2019-08-04	28014	Southwest	SO43950	1	1	3578.27	89.4568
313	2019-08-06	28068	Southwest	SO43957	1	1	3578.27	89.4568
311	2019-08-07	28031	Southwest	SO43961	1	1	3578.27	89.4568
312	2019-08-07	28076	Southwest	SO43962	1	1	3578.27	89.4568
313	2019-08-08	28040	Northwest	SO43967	1	1	3578.27	89.4568
313	2019-08-08	28067	Southwest	SO43968	1	1	3578.27	89.4568
310	2019-08-08	28071	Southwest	SO43969	1	1	3578.27	89.4568
312	2019-08-09	28039	Southwest	SO43973	1	1	3578.27	89.4568
